Category,Subtitle,Name,Description,Price,Tags
ORIENTAL APPETIZERS,VEGGIE SENSATION,VEG MANCHURIAN DRY,"Deep fried balls of crunchy vegetables in a crispy batter, stirred in a thick, sweet and savoury sauce.",235,Veg
ORIENTAL APPETIZERS,VEGGIE SENSATION,PAN FRIED CHILLI MUSHROOM,"Batter fried mushroom, bell pepper, onion and scallions in a flavourful sauce.",235,"Veg, Chilli"
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG TENGRI 2pcs,Clay oven grilled chicken drumsticks treated in a spicy marinade.,235,"Non-veg, Chilli"
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG TENGRI 4pcs,Clay oven grilled chicken drumsticks treated in a spicy marinade.,419,"Non-veg, Chilli"
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG TIKKA,Traditionally marinated spicy chicken pieces grilled over charcoal fire.,275,"Non-veg, Chilli"
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG HARIYALI,"Juicy chicken chunks in a sweet and creamy marinade, grilled to a silky texture.",295,Non-veg
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG RESHMI,"Juicy chicken chunks in a sweet and creamy marinade, grilled to a silky texture.",285,Non-veg
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG TANDOORI HALF,"The King of all kebabs, spiced whole / half chicken with bone, finished and roasted on clay oven until perfection.",299,"Non-veg, Studio Special"
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG TANDOORI FULL,"The King of all kebabs, spiced whole / half chicken with bone, finished and roasted on clay oven until perfection.",549,"Non-veg, Studio Special"
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG MALAI,"Tandoor grilled chicken pieces marinated in a melange of cream cheese, ginger garlic.",315,Non-veg
TANDOOR KEBABS,GRILLED CHICKEN FLAVOR,MURG JAIPURI TIKKA,"Tender chicken chunks in a rich, creamy, bright yellow marinade of kasturi and mustard, grilled on a clay oven and garnished with broken papad.",315,Non-veg
ORIENTAL APPETIZERS,ZESTY CHICKEN ZING,SESAME HONEY CHICKEN,"Batter fried chicken, tossed in sweet and savoury honey-based sauce, sprinkled with sesame seeds.",295,Non-veg
ORIENTAL APPETIZERS,ZESTY CHICKEN ZING,DRAGON CHICKEN,"Batter-fried crispy, crunchy chicken strips, which are tossed in a spicy, sweet, and sour sauce along with bell pepper.",299,"Non-veg, Chilli"
ORIENTAL APPETIZERS,ZESTY CHICKEN ZING,PAN FRIED CHILLI CHICKEN,"Pan fried chicken with garlic, onions and green chillies.",299,"Non-veg, Chilli"
ORIENTAL APPETIZERS,ZESTY CHICKEN ZING,DRUMS OF HEAVEN,"Crispy, golden fried chicken lollipops tossed in a thick sweet and spicy sauce.",329,"Non-veg, Chilli"
ORIENTAL APPETIZERS,ZESTY CHICKEN ZING,CHILLI PLUM CHICKEN,Succulent chicken with vibrant veggies in a sweet plum sauce.,295,"Non-veg, Chilli"
ORIENTAL APPETIZERS,ZESTY CHICKEN ZING,WINGS OF FIRE,"Crispy fried batter coated chicken wings, tossed in a fiery hot Chinese sauce with Sichuan pepper.",315,"Non-veg, Chilli"
ORIENTAL APPETIZERS,ZESTY CHICKEN ZING,DRY CHILLI CHICKEN,Crispy chicken fritters with bell pepper and scallions in flavoursome soy sauce.,289,"Non-veg, Chilli"
 ORIENTAL APPETIZERS,SEA FOOD,PAN FRIED CHILLI FISH,Chef's special marinated fish fillet and cubed bell pepper stirred in a flavourful Chinese sauce.sesame seeds.,405,"Non-veg, Chilli"
 ORIENTAL APPETIZERS,SEA FOOD,BUTTER GARLIC PRAWN,"Succulent freshwater prawns and chopped garlic, cooked in butter and tossed with lemon juice and chilli flakes.",469,Non-veg
 ORIENTAL APPETIZERS,SEA FOOD,PUNJABI TEEKHI MACCHI,Fish coated in a traditional Punjabi fiery spice mix and grilled to perfection.,355,"Non-veg, Chilli"
 ORIENTAL APPETIZERS,SEA FOOD,SUGANDHI MAHI,"Awadhi style grilled fish marinated with yogurt, handpicked spices and a dash of 'Gandharaj Lebu'.",395,Non-veg
 ORIENTAL APPETIZERS,SEA FOOD,PRAWN TANDOORI,"Chef's special spicy marinated prawns, tandoor grilled until tender and smokey.",425,"Non-veg, Chilli"
